symbol
BTCUSDT
ETHUSDT
SOLUSDT
LINKUSDT
BNBUSDT
UNIUSDT
TONUSDT
THETAUSDT
RUNEUSDT
FILUSDT
INJUSDT
BCHUSDT
AVAXUSDT
ATOMUSDT
ARBUSDT
APTUSDT
ADAUSDT
AAVEUSDT
OPUSDT
POLUSDT
SUSDT
DOGEUSDT
XRPUSDT
TAOUSDT
SUIUSDT
SANUSDT
RNDRUSDT
NEOUSDT
NEARUSDT
MANAUSDT
LTCUSDT
HEDGUSDT
DOTUSDT
POLSUSDT

