symbol
INTC
NVDA
PAAS
GDX
ADBE
WMT
NKE
PEP
ORCL
QCOM
TGT
MA
GME
S
PLTR
AMZN
REP.MC
SAN
IBE.MC
RAIZ4.SA
SHOP
DD
NIO
COIN
DUOL
F
ABNB
RDDT
BBVA
IONQ
TEF
SAB
SLR
ELE
CABK
MAP
RNO
DGE
TRE
GLE
ANE
ITX
TMV
HFG
KCR
AFX
UTDI
DHER
TIT
HAG
LDO
RHM
UBI
AMS
EVD
OCI
BCU
SOI
ENX
